,text,username,link,code,date,sentiment,probability
,Just left Starship Texas build site. Very proud of progress SpaceX team has made! Pics are of 9m dome rotation &amp; Starship airframe behind windbreak. https://t.co/1cmOzkPlkn,elonmusk,http://twitter.com/elonmusk/status/1158309825815699456,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Just left Starship Texas build site. Very proud of progress SpaceX team has made! Pics are of 9m dome rotation &amp; Starship airframe behind windbreak. <a href=""https://t.co/1cmOzkPlkn"">pic.twitter.com/1cmOzkPlkn</a></p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158309825815699456?ref_src=twsrc%5Etfw"">August 5, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-05,1,0.9993995428
,Headed to Starship Cape Canaveral build site today,elonmusk,http://twitter.com/elonmusk/status/1158310224664715266,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Headed to Starship Cape Canaveral build site today</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158310224664715266?ref_src=twsrc%5Etfw"">August 5, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-05,1,0.8300199509
,"RT @SpaceX: SpaceX is expanding its launch services to directly address the needs of small satellite operators through regularly scheduled, dedicated Falcon 9 rideshare missions - https://t.co/jqQxEdt4xphttps://t.co/3gzOPxdVkW",elonmusk,http://twitter.com/elonmusk/status/1158455507436343298,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">SpaceX is expanding its launch services to directly address the needs of small satellite operators through regularly scheduled, dedicated Falcon 9 rideshare missions - <a href=""https://t.co/jqQxEdt4xp"">https://t.co/jqQxEdt4xp</a> <a href=""https://t.co/3gzOPxdVkW"">pic.twitter.com/3gzOPxdVkW</a></p>&mdash; SpaceX (@SpaceX) <a href=""https://twitter.com/SpaceX/status/1158437647280271363?ref_src=twsrc%5Etfw"">August 5, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-05,1,0.9588703513
,"@cleantechnica So much drama &amp; good times too! Maybe worth a book one day, but would come at expense of  &amp;  &amp; .",elonmusk,http://twitter.com/elonmusk/status/1158584208236793857,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">So much drama &amp; good times too! Maybe worth a book one day, but would come at expense of  &amp;  &amp; .</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158584208236793857?ref_src=twsrc%5Etfw"">August 6, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-06,1,0.9971730709
,"Great progress by Starship Cape team. Started several months behind, but catching up fast. This will be a super fun race to orbit, moon &amp; Mars!",elonmusk,http://twitter.com/elonmusk/status/1158590084280549376,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Great progress by Starship Cape team. Started several months behind, but catching up fast. This will be a super fun race to orbit, moon &amp; Mars!</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158590084280549376?ref_src=twsrc%5Etfw"">August 6, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-06,1,0.9997517467
,"@ShorealoneFilms Vandenberg is great for polar orbits. Will still play an important role long-term, but 80%+ will be eastward.",elonmusk,http://twitter.com/elonmusk/status/1158592491110535170,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Vandenberg is great for polar orbits. Will still play an important role long-term, but 80%+ will be eastward.</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158592491110535170?ref_src=twsrc%5Etfw"">August 6, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-06,1,0.9582253098
,@kulpability No,elonmusk,http://twitter.com/elonmusk/status/1158592581862752256,"<blockquote class=""twitter-tweet""><p lang=""und"" dir=""ltr"">No</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158592581862752256?ref_src=twsrc%5Etfw"">August 6, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-06,-1,0.9980294108
,"@HarryStoltz1 @ShorealoneFilms Not in current plans, but that may change",elonmusk,http://twitter.com/elonmusk/status/1158593599535140864,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Not in current plans, but that may change</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158593599535140864?ref_src=twsrc%5Etfw"">August 6, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-06,1,0.9392974377
,@HarryStoltz1 @ShorealoneFilms Details coming at Starship update,elonmusk,http://twitter.com/elonmusk/status/1158595570451095552,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Details coming at Starship update</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158595570451095552?ref_src=twsrc%5Etfw"">August 6, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-06,1,0.9602414966
,"@Erdayastronaut Race to orbit by both teams, although a success by both in close proximity would be amazing &amp; each would count as a win",elonmusk,http://twitter.com/elonmusk/status/1158631714706427904,"<blockquote class=""twitter-tweet""><p lang=""en"" dir=""ltr"">Race to orbit by both teams, although a success by both in close proximity would be amazing &amp; each would count as a win</p>&mdash; Elon Musk (@elonmusk) <a href=""https://twitter.com/elonmusk/status/1158631714706427904?ref_src=twsrc%5Etfw"">August 6, 2019</a></blockquote> <script async src=""https://platform.twitter.com/widgets.js"" charset=""utf-8""></script>",2019-08-06,1,0.9796428084
